Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Flash Card Reader Product\Card_Reader\Project Outputs for Card_Reader\Pick Place\Pick Place for PCB_Design.csv

========================================================================================================================
File Design Information:

Date:       12-04-25
Time:       09:41
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C11","10nF","TopLayer","CAPC1005X55N","181.890","2560.000","180","Capacitor"
"C10","10nF","TopLayer","CAPC1005X55N","2938.890","2569.000","180","Capacitor"
"C9","10nF","TopLayer","CAPC1005X55N","2590.000","2570.000","180","Capacitor"
"C8","10nF","TopLayer","CAPC1005X55N","2190.000","2570.000","180","Capacitor"
"C7","10nF","TopLayer","CAPC1005X55N","1800.000","2570.000","180","Capacitor"
"C6","22uF","TopLayer","CAPC1608X80N","970.000","1930.000","270","Capacitor"
"C5","0.1uF","TopLayer","GRM033D70J224ME01D","960.000","2119.330","270","Capacitor"
"C4","10uF","TopLayer","CAPC1608X95N","499.999","2230.000","180","Capacitor"
"C3","1uF","TopLayer","CAPC1608X90N","2200.000","430.000","90","Capacitor"
"C2","0.1uF","TopLayer","GRM033D70J224ME01D","2204.000","70.000","270","Capacitor"
"C1","10uF","TopLayer","CAPC1608X95N","2090.000","70.000","270","Capacitor"
